iso,countryName,href
NLD,Netherlands,https://upload.wikimedia.org/wikipedia/commons/2/20/Flag_of_the_Netherlands.svg
NCL,New Caledonia,https://upload.wikimedia.org/wikipedia/commons/6/66/Flag_of_FLNKS.svg
NZL,New Zealand,https://upload.wikimedia.org/wikipedia/commons/d/d8/Flag_of_New_Zealand_%283-2_aspect_ratio%29.svg
NIC,Nicaragua,https://upload.wikimedia.org/wikipedia/commons/b/b0/Flag_of_Nicaragua_%283-2%29.svg
NER,Niger,https://upload.wikimedia.org/wikipedia/commons/1/12/Flag_of_Niger_3%212.svg
NGA,Nigeria,https://upload.wikimedia.org/wikipedia/commons/5/50/Flag_of_Nigeria_%283-2%29.svg
PRK,North Korea,https://upload.wikimedia.org/wikipedia/commons/d/d6/Flag_of_North_Korea_%283-2%29.svg
NOR,Norway,https://upload.wikimedia.org/wikipedia/commons/b/bb/Flag_of_Norway_%283-2%29.svg
OMN,Oman,https://upload.wikimedia.org/wikipedia/commons/9/9c/Flag_of_Oman_%283-2%29.svg
PAK,Pakistan,https://upload.wikimedia.org/wikipedia/commons/3/32/Flag_of_Pakistan.svg
PLW,Palau,https://upload.wikimedia.org/wikipedia/commons/e/ec/Flag_of_Palau_%283-2%29.svg
PAN,Panama,https://upload.wikimedia.org/wikipedia/commons/a/ab/Flag_of_Panama.svg
PNG,Papua New Guinea,https://upload.wikimedia.org/wikipedia/commons/b/bc/Flag_of_Papua_New_Guinea_%283-2%29.svg
PRY,Paraguay,https://upload.wikimedia.org/wikipedia/commons/0/07/Flag_of_Paraguay_%283-2%29.svg
PER,Peru,https://upload.wikimedia.org/wikipedia/commons/c/cf/Flag_of_Peru.svg
PHL,Philippines,https://upload.wikimedia.org/wikipedia/commons/c/ca/Flag_of_the_Philippines_%283-2%29.svg
POL,Poland,https://upload.wikimedia.org/wikipedia/commons/7/78/Flag_of_Poland_%283-2%29.svg
PRT,Portugal,https://upload.wikimedia.org/wikipedia/commons/5/5c/Flag_of_Portugal.svg
QAT,Qatar,https://upload.wikimedia.org/wikipedia/commons/3/3e/Flag_of_Qatar_%283-2%29.svg
ROU,Romania,https://upload.wikimedia.org/wikipedia/commons/5/54/Romania_Flag.svg
RUS,Russia,https://upload.wikimedia.org/wikipedia/commons/f/f3/Flag_of_Russia.svg
RWA,Rwanda,https://upload.wikimedia.org/wikipedia/commons/1/17/Flag_of_Rwanda.svg
KNA,Saint Kitts and Nevis,https://upload.wikimedia.org/wikipedia/commons/f/fe/Flag_of_Saint_Kitts_and_Nevis.svg
LCA,Saint Lucia,https://upload.wikimedia.org/wikipedia/commons/2/2b/Flag_of_Saint_Lucia_%283-2%29.svg
VCT,Saint Vincent and the Grenadines,https://upload.wikimedia.org/wikipedia/commons/6/6d/Flag_of_Saint_Vincent_and_the_Grenadines.svg
WSM,Samoa,https://upload.wikimedia.org/wikipedia/commons/4/44/Flag_of_Samoa_%283-2%29.svg
SMR,San Marino,https://upload.wikimedia.org/wikipedia/commons/b/b1/Flag_of_San_Marino.svg
STP,Sao Tome and Principe,https://upload.wikimedia.org/wikipedia/commons/4/4f/Flag_of_Sao_Tome_and_Principe.svg
SAU,Saudi Arabia,https://upload.wikimedia.org/wikipedia/commons/0/0d/Flag_of_Saudi_Arabia.svg
SEN,Senegal,https://upload.wikimedia.org/wikipedia/commons/f/fd/Flag_of_Senegal.svg
SRB,Serbia,https://upload.wikimedia.org/wikipedia/commons/f/ff/Flag_of_Serbia.svg
SYC,Seychelles,https://upload.wikimedia.org/wikipedia/commons/e/e8/Flag_of_Seychelles_%283-2%29.svg
SLE,Sierra Leone,https://upload.wikimedia.org/wikipedia/commons/1/17/Flag_of_Sierra_Leone.svg
SGP,Singapore,https://upload.wikimedia.org/wikipedia/commons/4/48/Flag_of_Singapore.svg
SXM,Sint Maarten,https://upload.wikimedia.org/wikipedia/commons/d/d3/Flag_of_Sint_Maarten.svg
SVK,Slovakia,https://upload.wikimedia.org/wikipedia/commons/e/e6/Flag_of_Slovakia.svg
SVN,Slovenia,https://upload.wikimedia.org/wikipedia/commons/f/f0/Flag_of_Slovenia.svg
SLB,Solomon Islands,https://upload.wikimedia.org/wikipedia/commons/7/74/Flag_of_the_Solomon_Islands.svg
SOM,Somalia,https://upload.wikimedia.org/wikipedia/commons/a/a0/Flag_of_Somalia.svg
ZAF,South Africa,https://upload.wikimedia.org/wikipedia/commons/a/af/Flag_of_South_Africa.svg
KOR,South Korea,https://upload.wikimedia.org/wikipedia/commons/0/09/Flag_of_South_Korea.svg
SSD,South Sudan,https://upload.wikimedia.org/wikipedia/commons/7/7a/Flag_of_South_Sudan.svg
ESP,Spain,https://upload.wikimedia.org/wikipedia/commons/c/c3/Bandera_de_Espa%C3%B1a_%28nuevo_dise%C3%B1o%29.svg
LKA,Sri Lanka,https://upload.wikimedia.org/wikipedia/commons/6/64/Flag_of_Sri_Lanka_%283-2%29.svg
SDN,Sudan,https://upload.wikimedia.org/wikipedia/commons/d/db/Flag_of_Sudan_%283-2%29.svg
SUR,Suriname,https://upload.wikimedia.org/wikipedia/commons/6/60/Flag_of_Suriname.svg
SWZ,Swaziland,https://upload.wikimedia.org/wikipedia/commons/1/1e/Flag_of_Swaziland.svg
SWE,Sweden,https://upload.wikimedia.org/wikipedia/commons/8/83/Flag_of_Sweden_%283-2%29.svg
CHE,Switzerland,https://upload.wikimedia.org/wikipedia/commons/a/af/Flag_of_Switzerland_%28with_spacing%29.svg
SYR,Syria,https://upload.wikimedia.org/wikipedia/commons/5/53/Flag_of_Syria.svg
TWN,Taiwan,https://upload.wikimedia.org/wikipedia/commons/7/72/Flag_of_the_Republic_of_China.svg
TJK,Tajikistan,https://upload.wikimedia.org/wikipedia/commons/9/95/Flag_of_Tajikistan_%283-2%29.svg
TZA,Tanzania,https://upload.wikimedia.org/wikipedia/commons/3/38/Flag_of_Tanzania.svg
THA,Thailand,https://upload.wikimedia.org/wikipedia/commons/a/a9/Flag_of_Thailand.svg
TGO,Togo,https://upload.wikimedia.org/wikipedia/commons/7/7a/Flag_of_Togo_%283-2%29.svg
TON,Tonga,https://upload.wikimedia.org/wikipedia/commons/0/05/Flag_of_Tonga_%283-2%29.svg
TTO,Trinidad and Tobago,https://upload.wikimedia.org/wikipedia/commons/3/39/Flag_of_Trinidad_and_Tobago_%283-2%29.svg
TUN,Tunisia,https://upload.wikimedia.org/wikipedia/commons/c/ce/Flag_of_Tunisia.svg
TUR,Turkey,https://upload.wikimedia.org/wikipedia/commons/b/b4/Flag_of_Turkey.svg
TKM,Turkmenistan,https://upload.wikimedia.org/wikipedia/commons/1/1b/Flag_of_Turkmenistan.svg
